"mood","style_en","style_zh","rendering_keywords","visual_rule","color_rule","best_for","title_style"
"极简/安静","Quiet Graphic Minimalism","安静图形极简风","极简主义海报，大量留白，单一几何形状，哑光色调，无装饰","形状本身承担全部视觉重量，留白≥60%，无任何装饰元素","哑光白/米白底 #F8F6F2，深灰 #2D2D2D 或深蓝 #1A2744 单色点缀，不超过两色","高端品牌、艺术机构、建筑展览、学术主题","超细无衬线字体（Thin/Ultralight字重），字间距极宽（+200 tracking），居中或左对齐，深灰色，无装饰无描边"
"优雅/轻奢","Opulence Era","轻奢极简风","轻奢极简，金色细线，磨砂质感，大留白，优雅排版，细描边装饰","金属光泽/磨砂质感+精致留白，字体是主要设计元素，去除一切非必要装饰","黑 #0A0A0A + 金 #C9A85C，或奶白 #FAF7F2 + 玫瑰金 #B76E79，或深蓝 #0D1B2A + 银 #C0C0C0","高端品牌、精品活动、奢侈品内容、时尚视觉","纤细高反差衬线体（类 Didot/Bodoni），笔画粗细对比极端，字间距宽松，金色或深棕色，优雅克制"
"几何/结构","Geometric Pattern","几何图案风","几何图案，三角形重复，六边形网格，数学规律，纯色几何，对比配色","选取单一基础几何形（三角形/六边形/圆/菱形），按严格数学规律（旋转、镜像、等距平铺）重复排列；形状之间无间隙或保持统一间距，形成强烈视觉节奏；图案可铺满全版作背景，也可局部裁切作主视觉；形状数量以密集填充为主，单元格边长建议占版面 5-15%；文字信息叠加时需通过明度或底色与图案明确区分层级，避免混杂","对比双色（图形+底色），主色+底色+边线不超过三色，饱和度 60-80%","科技品牌、展览视觉、企业活动、结构化海报","粗体几何无衬线（类 Futura Bold/Avenir Heavy），字形轮廓呼应几何图案，大写字母，高饱和单色，强对比"
"几何/结构","Shape Theory","模块图形风","模块化布局，圆角矩形分区，纯色色块，信息容器，扁平设计，便当盒构图","超椭圆（Squircle）系统化作为构图单元，模块化分区，每个模块不同纯色","高对比实色，每个模块独立纯色，整体 3-5 色，无渐变","信息图、产品视觉、流程图、科技海报","圆润无衬线体（类 Nunito/Rounded M+），字体与色块模块同色系，White on Color 配色，适中字重"
"强烈/冲击","High Contrast Typographic Poster","强对比字体海报","大字体海报，文字主视觉，极大字号，强对比，单色背景，字体压迫感","文字占版面 80% 以上，字体即图像，字号极大，行距极紧，制造压迫感","黑底白字（#000000 / #FFFFFF），或白底黑字，或纯色底 + 白字，双色最多三色","品牌宣言、社会议题、演讲海报、观点表达","超大压缩黑体（Condensed/Extended混用），字号差异极端（主词超大/副词极小），行距紧密，字母充满画面"
"活力/多巴胺","Dopamine Design","多巴胺高饱和风","多巴胺配色，荧光色，超高饱和，霓虹色调，大色块，强对比，活力爆炸","超高饱和荧光色（HSB 饱和度>90%），色彩本身是最强烈的信息，无需复杂图形","荧光绿 #39FF14、荧光粉 #FF6EC7、电光蓝 #00B4FF、明黄 #FFE000，两两高对比并用","年轻品牌、促销活动、社交媒体内容、年轻化话题","超粗圆体（类 Fredoka One/Baloo），高饱和荧光色填充字体，笔画圆润饱满，字间距紧凑，活力感"
"活力/多巴胺","Maximalist Design","最大化主义","最大化主义，填满版面，多层叠加，高饱和，复杂图案，装饰华丽，无留白","拒绝留白，版面填满视觉元素，多重渐变+大量图案+超大字体+高饱和色彩","高饱和多色并置，紫 #7B2FBE + 绿 #2ECC71 + 红 #E74C3C + 金 #F39C12，无颜色限制","潮流品牌、促销活动、娱乐活动、年轻化活动","装饰性展示字体（类 Cooper Black/Playfair Display Bold），字号极大，多色渐变填充字体，描边+投影叠加，华丽夸张"
"复古/怀旧","Photo-Lettering Revival","复古照排字风","复古照排，字间距极紧，颗粒质感，1960年代排版，暖黄底色，胶片感，做旧效果","模拟 1950-70 年代照相排版机，字间距极紧（字母几乎相接），轻微失焦，底片颗粒叠加","暖黄/米色纸底 #ECD9B0 + 棕黑字 #2C1810，或深底 #1A1008 + 奶白字 #F0E4CC","复古品牌、唱片封面、文艺海报、出版封面","照排衬线字体（类 ITC Garamond/Caslon），字间距极紧接近0，颗粒胶片质感叠加，暖棕色，1960s 封面感"
"实验/前卫","Mutant Heritage","变异复古风","变异复古，传统图案扭曲变形，液化效果，传统纹样高饱和替换，比例故意破坏","将传统图案进行变异处理，传统纹样被拉伸扭曲、色彩被替换为非原色、比例故意破坏","超饱和撞色：薄荷绿 #2AC4A6 + 荧光粉 #FF4D8D，或电蓝 #0066FF + 锈红 #C4632A","潮牌、音乐节、实验艺术展、亚文化视觉","变形扭曲字体（Warp/Liquify效果），传统字体轮廓被液化拉伸，超饱和撞色，比例故意失调"
"未来/科技","Retro-Futurism","复古未来主义","复古未来主义，原子时代，行星轨道，太空舱，流线型，1950年代科幻，双色调，圆弧形状","原子时代（1950-60s）乐观科幻美学，流线型机械造型、行星轨道图案、太空舱圆窗","橙 #E8873A + 棕 #8B5A2B + 米白 #F5ECD7（原子时代）或深蓝 #0B1E3D + 银 #C0C8D4 + 荧光绿 #39FF90（太空感）","科技活动、科幻主题、AI 内容、未来品牌焕新","双色调展示衬线（类 Slab Serif/Rockwell），圆弧感字形，原子时代配色（橙棕米），1950s 科幻海报排版感"
"未来/科技","Dark Neon / Cyberpunk","酷感未来风","赛博朋克，霓虹发光，深色背景，HUD界面，数据流，扫描线，未来感，电子城市","深色底+高饱和霓虹强调色，赛博格美学、HUD 界面元素、数据流视觉","深黑底 #0A0A0F，电光蓝 #00B4FF 带发光，霓虹粉 #FF2D9B 副色，严格限 2 霓虹色","游戏、科技品牌、AI 内容、夜生活","等宽未来感字体（类 Share Tech Mono/Orbitron），霓虹外发光效果，电光蓝或粉色光晕，字母带扫描线感"
"几何/结构","Micrographics","微观图形学","电路板纹理，蓝图风格，分子结构，技术线条，深色背景，荧光绿线条，工程图感，精细网格","技术性微型图形（电路板/蓝图/分子结构/解剖图）提升为主视觉，信息密度极高","深底（黑 #0A0A0A / 深蓝 #061428）+ 单色技术图形（白 #FFFFFF / 金 #C9A85C / 荧光绿 #39FF90）","专业技术内容、数据海报、工程视觉、科技品牌","工程蓝图字体（类 Blueprint/DIN Alternate），精细等宽，技术注释感，单色荧光绿或白色，电路板图形叠加在字母上"
"未来/科技","Raw / Monospace Aesthetics","原始美学","终端风格，等宽字体，代码审美，黑色背景绿色文字，网格线可见，数据表格，极客美学","等宽字体+可见网格线+数据表格结构直接作为最终视觉，功能即设计","黑底绿字（#000000 / #00FF00 终端绿），或白底黑字（#FFFFFF / #000000 极简终端）","B2B 品牌、科技工具、开发者内容、终端美学海报","终端等宽字体（Courier New/Fira Code/Source Code Pro），命令行绿色，可见网格线，数据表格感，极客美学"
"未来/科技","Retro-Futurism Femme","复古未来女性主义","太空时代，几何服装，银色质感，宇航员美学，1960年代女性，圆形几何，未来时尚","1960-70s 太空时代女性时尚美学（Paco Rabanne、Courrèges）与科幻图像交叉","银白 #E8E8E8 + 黑 #1A1A1A + 荧光橙 #FF6B35，或奶白 #FAF7F2 + 金 #C9A85C + 淡粉 #F5D5D5","女性品牌、时尚主题、未来女性议题、文化内容","圆形几何无衬线（类 Avant Garde/Futura Light），字间距适中，银色或白色，1960s 太空时代杂志感"
"手工/温暖","Mechanical Botanical","机械植物风","机械植物，齿轮藤蔓，电路叶脉，工业有机，铜绿色，精细线稿，混合材质，蒸汽朋克植物","植物有机形态（叶脉/藤蔓/花卉）与机械结构（齿轮/电路/管道）融合，对立元素共生","铜绿（金属感）#6B8F6A + 黑线 #1A1A1A + 米底 #F0EAD8，或工业灰 #6B6B6B + 植物绿 #4A7A3E","科技品牌、未来自然主题、艺术展览、实验品牌","蒸汽朋克铜版字体（类 Cinzel/Trajan），植物纹理叠加在字母笔画上，铜绿色金属感，齿轮感装饰"
"可爱/活泼","Claymation Style","黏土动画卡通风","3D黏土渲染，捏塑质感，哑光表面无高光，圆润大头小身比例，手工黏土玩具感，Claymation定格动画风，可见捏纹凸起，超轻黏土质感，立体卡通角色，柔和均匀漫射光，奶油底色背景，2D贴纸装饰叠加","角色采用夸张大头小身比例（头身比约1:1～1.5:1），全身四肢和服装呈现手捏黏土的圆润饱满感；表面哑光、无镜面反射，轻微可见捏塑纹理和指压痕迹；背景为干净奶油色或简洁浅暖色，不干扰角色主体；星星、闪电、花朵、气泡等2D平面贴片叠加在3D角色周围，制造手工剪贴书效果；整体光线柔和均匀，投影轻薄，无强烈明暗对比；角色姿态动感，表情夸张生动","背景奶油白 #FAF6EF 或浅米黄 #F5EDD8；人物皮肤色 #F5C5A3，服装使用低饱和暖色；装饰贴片撞色点缀：暖橙 #E8873A、柠檬黄 #FFD966、玫瑰粉 #F5B8C4、天蓝 #A8D8EA；整体饱和度控制在 45-65%，避免过于鲜艳刺眼；全图色彩数量 5-7 色，保持温暖统一的温柔感","IP 形象、品牌吉祥物、趣味科普、年轻化推广","3D黏土鼓包字体（类 Baloo 2/Bubblegum Sans），字母有捏塑鼓胀感，哑光暖色填充，轻微投影，无高光"
"叙事/插画","Local / Cultural Illustration","在地文化插画","传统纹样现代化，民俗图案，文化符号，东方美学，当代设计语言，传统与现代融合，水墨工笔，书法感文字，朱砂印章，古朴典雅色调","提取特定文化的核心图形符号（东方：云纹/回纹/祥云/牡丹；西方：凯尔特结/巴洛克卷草），以现代简化线条重绘，保留符号识别性但去除繁复细节；传统纹样可作边框、底纹或局部主视觉；配色在传统色基础上做现代化调整（降低饱和度或替换为当代流行色）；东方内容可适当竖排文字或加印章红底白字元素；严禁生硬拼贴符号，文化来源需内在统一","随文化来源而定，东方常用：朱红 #C0392B + 金 #C9A85C + 墨黑 #1A1A1A + 青 #2E8B8B","文化活动、旅游品牌、节庆海报、在地叙事内容","书法感衬线体（类 Noto Serif CJK/方正标雅宋），笔画有书法提按感，朱红或墨黑，可竖排，印章红框装饰"
"拼贴/混媒","Analog Meets AI","混合媒介风","混合媒介，手绘与数字融合，扫描痕迹，胶带痕迹，物理与数字碰撞，暖冷对比，层叠质感","手绘/水彩/扫描素材与 AI 生成图像刻意叠放融合，模拟与数字边界消解","手工感暖色（赭石 #C4913A、燕麦白 #F2EDE4）+ AI 感冷色（电蓝 #0099CC、浅灰 #B0C4DE）对比","创意机构、科技艺术展、AI 主题内容、混合媒介海报","双重叠加字体（手写体与等宽数字字体叠压），暖冷色各一层，透明度叠加，手写与代码感共存"
"拼贴/混媒","Mixed Media Collage","混合媒介拼贴","混合媒介，多层叠合，老照片，手绘，纸张质感，撕边效果，燃烧边缘，实验性拼贴","老照片+手绘元素+纸张扫描+数字绘画四种媒介深度分层叠合","随素材而定，复古暖调为主，深褐 #5C3D2E、旧白 #E8DFD0、铁锈橙 #C4632A","广告创意、品牌海报、艺术展、实验拼贴内容","撕边燃烧感字体（类 Bleeding Cowboys/字边缘做旧处理），字母轮廓有撕纸或燃烧边缘，深褐色，实验拼贴感"
"优雅/轻奢","Serif Revival","高反差衬线风","衬线字体，高反差笔画，大号字体，极简版面，字体主视觉，粗细对比，经典优雅","经典衬线字体超大字号使用，笔画粗细对比极端，版面干净，字体独承全部视觉重量","奶白/米白底 #FAF7F2 + 深棕/黑字 #1A1008，或黑底 #0A0A0A + 米白字 #FAF7F2","时尚品牌、高端产品、杂志封面、优雅视觉","超高反差衬线体（类 Didot Display/Bodoni MT），横细竖粗对比极端，超大字号，奶白底深棕字，版面极简只有字"
"活力/多巴胺","Kinetic Typography","动感排字风","运动模糊，字体变形，拖尾效果，速度感，倾斜字体，叠影排列，动势，霓虹字体","字体在视觉上呈现运动状态，模糊拖尾、倾斜变形、重复叠影、错位排列","深色底 #0A0A0F + 高亮字色，电光蓝 #00B4FF / 荧光粉 #FF6EC7 强调，带发光效果","音乐电影宣传、数字海报、活动预热、动感标题","运动模糊斜体字（类 Impact Italic/Bebas Neue Italic），字体倾斜 ±10-15°，拖尾重影叠加，电光蓝荧光粉发光，速度感强"
"手工/温暖","Solarpunk","太阳朋克","太阳朋克，生态未来，城市植物，乌托邦，阳光感，明亮色调，可再生能源，绿色科技城市","乐观生态未来主义，城市与自然共生的乌托邦图景，明亮阳光感色调，植物/可再生能源","向日葵黄 #FFD700 + 嫩叶绿 #7DC95E + 天空蓝 #87CEEB + 土地橙 #E8873A（明亮自然色）","环保品牌、可持续活动、社区项目、绿色科技内容","明亮手绘圆体（类 Quicksand/Varela Round），笔画圆润向阳，向日葵黄或嫩叶绿色，字体边缘叠加植物叶片装饰，乐观温暖感"
"可爱/活泼","Cartoon Branding","卡通品牌化","卡通角色，扁平插画，圆润造型，夸张表情，色块背景，活泼可爱，品牌吉祥物，轻松幽默","角色头身比夸张（2:1～3:1），四肢圆润简化，面部五官夸张到位；姿态活泼动感，避免正面站立的呆板构图，优先使用侧身、跳跃、奔跑等动态姿势；背景使用纯色色块或简单几何底色，不与角色争夺视觉焦点；文字信息融入角色周围空间，与角色形成自然互动感；同一品牌多角色需保持统一的线宽（建议 2-3px）、阴影风格（单向投影）和色彩系统","珊瑚红 #FF6B6B + 柠檬黄 #FFE156 + 薄荷绿 #6BCFB5，高饱和圆润色，纯色色块背景","消费品、食品饮料、年轻品牌、教育内容","卡通粗圆体（类 Comic Neue/Chalkboard），笔画圆润无锐角，珊瑚红或柠檬黄填充，单向黑色投影，活泼卡通感"
"极简/安静","Notion Flat Illustration","极简黑白扁平插画","极简黑白，纯黑轮廓线，扁平2D，无渐变无阴影，矢量图形质感，Notion风格插画，线条自信流畅","粗细均匀的纯黑轮廓线，造型简洁有表现力；背景纯白，高对比度；禁用灰色、渐变、阴影；边缘锐利，无噪点，干净平面矢量感","仅限纯黑 #000000 与纯白 #FFFFFF，无任何第三色","知识科普、工具教程、产品说明、技术内容、现代简约封面配图","简洁无衬线黑体，纯黑色，字重适中，与插画轮廓线粗细匹配，无装饰无描边"
